keyword,region,text,created_at,source,sentiment_label,sentiment_score
,,招聘 大学生 研学 导师 名 云山 兼职 服务 办公室 南 年月日 招聘 方舒伯 生涯 单 号 工作 时间 月 日 工作 地点 大学城 高校 校区 工作 内容 预计 月 日 周二 上午 大学城 徒步 活动 中为 高一 学生 介绍 高校 概况 预计 月 日 周二 下午 引领 学生 参观 广东外语外贸大学 广东 工业 大学 分享 大学 生活 体验 感悟 工作 月 日 培训 大学生 导师 需 知识 经验 同学 研学 旅程 保驾护航 做好 榜样 同学 未来 更好 方向 成长 工作 待遇 见习 导师 第一次 上岗 元天 研学 导师 第二次 入库 上岗 元天 每次 研学 活动 中舒伯 生涯 每位 研学 导师 工作 情况 评级 研学 导师 积累 个级 评级 第六次 起带 岗 表现 为级 研学 导师 额外 元天 奖励 每次 带团 活动 有研 学 当天 午餐 饮用水 研学 导师 工作 证明 专业 培训 机会 应聘 方式 请 添加 跟单员 同学 联系方式 微信 验证 信息 注明 单 号 姓名 电话 请 同学 应聘 时 添加 跟单员 确保 兼职 办 沟通 疑问 异常 反馈 更 兼职 信息 关注 微信 公众 号 广外 云山 兼办 办公 电话 办公时间 周一 周五 周六 法定 节假日 办公 地址 广东外语外贸大学 大学城 校区 教学楼 栋 一楼 师生 服务 大厅,,,1,1
,,广东 工业 大学 浙江师范大学 广东 财经大学 暨南大学 集美 大学 中山大学 考研 专业课 模拟 卷 含答案 广东 工业 大学 浙江师范大学 广东 财经大学 暨南大学 集美 大学 中山大学 考研 专业课 模拟 卷 含答案,,,1,1
,,超话 中国篮协 公示 拟 授予 运动健将 名单 中 六月份 参加 亚洲 大学生 三人 篮球 锦标赛 拿到 男女 冠军 广东 工业 大学 云南 师范大学 拿到 男女 季军 北京工业大学 华中科技大学 队员 均 列,,,1,1
,,教育 信息化 态势 感知 运营 系统 高校 广东 工业 大学 态势 感知 运营 系统 数据 架构 威胁 建模 威胁 情报 威胁 预警 智能 检测 核心技术 学校 持续 监测 态势 精准 检测 威胁 快速 响应 安全事件 掌控 风险 提升 网络安全 管理 运营 能力 整体 水平 打造 运营 工作 信息 汇聚 中心 分析 中心 指挥 中心 详情 态势 感知 运营 系统 高校,,,0,0
,,广东 工业 大学 考研 超话 自知,,,1,1
,,广东 工业 大学 考研 超话求 数学 年 真题 两年,,,1,1
,,高考 志愿 填报 指南 超话 学生 来信 老师 广东 物化 生 考生 考了 分去 西北师范大学 生物科学 师范 专业 读 一个多月 发现 喜欢 学生 物 想要 去学 电气工程 自动化 复读 读 广东 工业 大学 电气工程 自动化 情况 建议 复读 读广工 电气 广东 中学老师 一本 毕业 生物 老师 竞争力 答 感谢 信任 答复 第一 复读 两个 慎重 回答 一是 学校 教育部 注册 注册 报名 参加 明年 高考 二是 开学 一个多月 选择 复读 晚 第二个 人不太 建议 复读 原因 三 所读 西北师范大学 一所 底蕴 深厚 颇具 实力 一本 院校 二是 复读 成绩 难以预料 所说 复读 成绩 分 难以 录取 广工 电气专业 专业 录取 排位 万位 明年 估计 还会 更 热三是 选择 复读 相当于 大学 晚 一年 未来 就业 难度 更大 第三 喜欢 生物学 转 专业 化学 师范 物理学 师范 期间 保持良好 学习态度 成绩 机会 说 广东 中学老师 增加 竞争力 读 学科 教学 研究生 机会 珠三角 地区 中学 任教 第四 考研 报 院校 取决于 大学 三年 成绩 成绩 特别 成绩 专业 前 报考 广东 北京师范大学 珠海 校区 华南 师范大学 两所 高校 广东 教育界 认可度 极高 珠三角 广州 深圳 谋 教职 难事 成绩 中等偏上 报 本校 研究生 西北师范大学 高校 师范类 专业 实力 不错 值得 报读,,,1,1
,,广东 工业 大学 超话 亲爱 广工 生日快乐 亲爱 广工 生日快乐,,,1,1
,,广东 工业 大学 超话 走 看展 走 看展,,,1,1
,,广东 工业 大学 超话 广 工人 母校 喊 回家 广 工人 母校 喊 回家,,,1,1
,,广东 工业 大学 超话 字 绝双 感叹号 广工 超模 冠军 秀双 感叹号 字 绝双 感叹号 广工 超模 冠军 秀双 感叹号,,,1,1
,,发布 头条 文章 第三代 半导体 标准 检测 研讨会 日程 出炉 加快 科技成果 产业化 推动 标准 体系 建设 细分 市场 规模化 协调 产业链 上下游 合作 第三代 半导体 产业 技术创新 战略 联盟 标准化 委员会 第十届 国际 第三代 半导体 论坛 之际 组织 举办 第三代 半导体 标准 检测 研讨会 重庆大学 教授 正 清纯 半导体 宁波 有限公司 研发 总监 孙博韬忱 芯 科技 上海 有限公司 总经理 毛赛 君 深圳 平湖 实验室 失效 分析 首席专家 光泽 工业 信息化 部 电子 第五 研究所 研究员 雷志锋 南京大学 副研究员 周峰 东南大学 博士后 李胜 广东 工业 大学教授 贺 致远 产学研 环节 专家 齐聚 分享 精彩 主题 报告 探讨 相关 标准 检测 技术 解决方案 技术 研究进展 敬请 关注 第三代 半导体 标准 检测 研讨会 日程 出炉,,,1,1
,,广东 工业 大学 超话 请问 仪器仪表 工程硕士 研究生 群,,,1,1
,,广东 工业 大学 超话 请问 有没有 考研 单片机 原理 专业课 资料 公共课 高数 二 重点 复习资料 接受 有偿 付费,,,1,1
,,华南 师范大学 周年 校庆 团结 勤奋 求是 创新 感谢 广东 工业 大学 业 祝福 愿 两校 友谊 长存 携手 同行 共创 辉煌,,,1,1
,,广东 工业 大学 考研 超话 多一份 欣赏 多一份 美好,,,1,1
,,深圳 校园 超话 广东 高校 太 男生 跑步 激情 燃烧 运动场 汗水 铸就 荣耀 章 速度 力量 齐飞 梦想 激情 同航 运动会 启幕 见证 青春 闪耀 广东 学子 时刻 广东 工业 大学 广州 校园 微博 视频,,,1,1
,,院士 领衔 大会 报告 院士 领衔 大会 报告 本次 大会 邀请 中国 石油 天然气 股份 有限公司 勘探 开发 研究院 刘合 院士 东南大学 河南 工业 大学 吴智深 教授 日本 工程院 院士 电子科技 大学 饶 云江 教授 广东 工业 大学 杨军 教授 澳大利亚 新南威尔士 大学 彭纲定 教授 作 大会 特邀 报告 围绕 分布式 光纤 传感 技术 油气 领域 最新进展 展望 面向 工程 结构 灾变 病变 精准 监测 分布式 光纤 传感 技术 光纤 分布式 声波 传感 技术 研究 进展 高精度 分布式 光纤 测量 技术 光纤 分布式 声 传感 物探 关键技术 分享 研究成果 前沿 见解,,,1,1
